0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:18 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:20 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:23 -0300] "GET /MVTur_ViagemMVC/views/clientes/cliente HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:26 -0300] "GET /MVTur_ViagemMVC/views/clientes/views/usuarios/create.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:40:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3275
