0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:39 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 200 12854
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:39 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:40 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:41 -0300] "GET /MVTur_ViagemMVC/assets/img/banner3.png HTTP/1.1" 200 589194
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:41 -0300] "GET /MVTur_ViagemMVC/assets/img/banner2.png HTTP/1.1" 200 786942
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:15:41 -0300] "GET /MVTur_ViagemMVC/assets/img/Po.png HTTP/1.1" 200 1058606
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 200 12862
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:17 -0300] "GET /MVTur_ViagemMVC/assets/img/logo.png HTTP/1.1" 200 6582
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:18 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:18 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:17:59 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
